SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
364130,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_BFilter,         1982.1,      0.9751,            6.5759E-02,        1.
364133,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_BFilter,       110.63,      0.9751,            0.110886,          1.
364136,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_BFilter,      40.735,      0.9751,            1.5608E-01,        1.
364139,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_BFilter,      8.6797,      0.9751,            1.7626E-01,        1.
364128,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CVetoBVeto,      1981.7,      0.9751,            8.2142E-01,        1.
364131,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CVetoBVeto,    110.56,      0.9751,            6.9260E-01,        1.
364134,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CVetoBVeto,   40.793,      0.9751,            6.1823E-01,        1.
364137,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CVetoBVeto,   8.6642,      0.9751,            5.6327E-01,        1.
364140,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV500_1000,             1.8079,      0.9751,            1.0000E+00,        1.
364141,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV1000_E_CMS,           0.14823,     0.9751,            1.0000E+00,        1.
364129,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CFilterBVeto,    1981.6,      0.9751,            1.0907E-01,        1.
364132,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CFilterBVeto,  110.55,      0.9751,            1.9020E-01,        1.
364135,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CFilterBVeto, 40.718,      0.9751,            2.3417E-01,        1.
364138,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CFilterBVeto, 8.6756,      0.9751,            2.6523E-01,        1.
