,Sherpa,PoPy,VV
muon_1_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoTightTrackOnly_FixedRad,429108.86853027344,466924.9305419922,8472.353083141148
muon_1_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoLoose_FixedRad,429210.5947265625,467034.34185791016,8475.164926449303
muon_1_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoTightTrackOnly_FixedRad,428760.1945800781,466544.63623046875,8466.315385058522
muon_1_MUON_EFF_RECO_STAT_1down_MuEffSF_Reco_QualMedium,429254.82873535156,467077.0336303711,8477.031559037976
muon_1_MUON_EFF_RECO_STAT_LOWPT_1down_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_1_MUON_EFF_RECO_SYS_1down_MuEffSF_Reco_QualMedium,428585.92053222656,466355.39794921875,8463.066058446188
muon_1_MUON_EFF_RECO_SYS_LOWPT_1down_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_1_MUON_EFF_TTVA_STAT_1down_MuEffSF_TTVA,429341.00427246094,467172.14373779297,8478.445340538863
muon_1_MUON_EFF_TTVA_SYS_1down_MuEffSF_TTVA,429307.30267333984,467135.99993896484,8477.663236713037
muon_1_MUON_EFF_TrigStatUncertainty_1down_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429427.35290527344,467264.03381347656,8480.340981583577
muon_1_MUON_EFF_TrigStatUncertainty_1down_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,428909.8159790039,466699.0997314453,8469.963079217356
muon_1_MUON_EFF_TrigSystUncertainty_1down_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429388.5477294922,467221.4737548828,8479.485886673909
muon_1_MUON_EFF_TrigSystUncertainty_1down_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,428720.5131225586,466495.55767822266,8466.402176908217
muons_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoLoose_FixedRad,429112.57666015625,466932.7420654297,8471.585504118819
muons_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoTightTrackOnly_FixedRad,428183.0148925781,465915.8465576172,8451.588237681892
muons_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoLoose_FixedRad,428504.58752441406,466276.3899536133,8457.854992624838
muons_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoTightTrackOnly_FixedRad,427674.5220336914,465375.2258300781,8442.925299944356
muons_MUON_EFF_RECO_STAT_1down_MuEffSF_Reco_QualMedium,429036.63220214844,466839.82067871094,8472.681217799895
